,precision,recall,f1-score,support
0-50,0.0,0.0,0.0,998.0
50-100,0.26974514256876103,1.0,0.4248807631160572,2138.0
100-150,0.0,0.0,0.0,1586.0
150-200,0.0,0.0,0.0,1106.0
200-250,0.0,0.0,0.0,617.0
250-300,0.0,0.0,0.0,406.0
300-350,0.0,0.0,0.0,229.0
350+,0.0,0.0,0.0,846.0
accuracy,0.26974514256876103,0.26974514256876103,0.26974514256876103,0.26974514256876103
macro avg,0.03371814282109513,0.125,0.05311009538950715,7926.0
weighted avg,0.07276244193944122,0.26974514256876103,0.11460952202146484,7926.0
