,precision,recall,f1-score,support
0-50,0.6695464362850972,0.6048780487804878,0.6355715017939518,1025.0
50-100,0.5410018552875696,0.6759388038942976,0.6009892827699918,2157.0
100-150,0.3912023460410557,0.41122071516646114,0.40096182747219716,1622.0
150-200,0.3018867924528302,0.31037827352085356,0.30607364897178385,1031.0
200-250,0.26558265582655827,0.166383701188455,0.2045929018789144,589.0
250-300,0.31063829787234043,0.17548076923076922,0.22427035330261136,416.0
300-350,0.2988505747126437,0.10833333333333334,0.15902140672782875,240.0
350+,0.6254416961130742,0.6276595744680851,0.6265486725663717,846.0
accuracy,0.47855160232147365,0.47855160232147365,0.47855160232147365,0.47855160232147365
macro avg,0.42551883182389616,0.38503415244784284,0.39475369943545635,7926.0
weighted avg,0.46498903815094683,0.47855160232147365,0.4662810609777797,7926.0
