,precision,recall,f1-score,support
0-50,0.5930339138405133,0.631219512195122,0.611531190926276,1025.0
50-100,0.49926524614254225,0.6300417246175244,0.5570813691330191,2157.0
100-150,0.370939161252215,0.3871763255240444,0.3788838612368024,1622.0
150-200,0.2861476238624874,0.27449078564500484,0.2801980198019802,1031.0
200-250,0.22422680412371135,0.14770797962648557,0.1780962128966223,589.0
250-300,0.24691358024691357,0.14423076923076922,0.18209408194233687,416.0
300-350,0.18811881188118812,0.07916666666666666,0.11143695014662756,240.0
350+,0.6609442060085837,0.5460992907801419,0.5980582524271845,846.0
accuracy,0.4472621751198587,0.4472621751198587,0.4472621751198587,0.4472621751198587
macro avg,0.38369866841976935,0.35501663178571985,0.36217249231385606,7926.0
weighted avg,0.43156060655004236,0.4472621751198587,0.4346744539911685,7926.0
